Player Name,Team Name,Nationality,Height,Weight,Age,Foot,Rating,Primary position,Secondary positions,Backup positions,Overall Rating,League,Region,offensive_awareness,ball_control,dribbling,tight_possession,low_pass,lofted_pass,finishing,heading,set_piece_taking,curl,defensive_awareness,tackling,aggression,defensive_engagement,speed,acceleration,kicking_power,jumping,physical_contact,balance,stamina,gk_awareness,gk_catching,gk_parrying,gk_reflexes,gk_reach,weak_foot_usage,weak_foot_accuracy,form,injury_resistance
B. Djimsiti,Atalanta BC,Albania,190,83,30,Right foot,C,CB,['Centre Back'],"['Left Back', 'Right Back']",77,Italian League,Europe,50,59,54,59,61,61,51,69,53,53,74,74,76,73,67,62,63,71,78,55,72,40,40,40,40,40,Occasionally,High,Standard,Medium
A. Broja,Fulham W,Albania,191,74,22,Right foot,C,CF,['Centre Forward'],"['Right Wing Forward', 'Second Striker']",76,English League,Europe,71,69,69,68,57,53,73,66,58,60,43,43,64,53,74,68,71,66,78,59,68,40,40,40,40,40,Rarely,High,Standard,Low
E. Hysaj,SS Lazio,Albania,182,75,29,Right foot,C,RB,"['Left Back', 'Right Back']","['Left Midfielder', 'Right Midfielder']",75,Italian League,Europe,59,69,65,66,70,67,53,61,54,56,67,70,70,74,77,74,59,61,65,66,79,40,40,40,40,40,Occasionally,High,Standard,Medium
K. Asllani,Internazionale Milano,Albania,175,63,21,Right foot,C,DMF,"['Defensive Midfielder', 'Centre Midfielder', 'Attacking Midfielder']",['Second Striker'],74,Italian League,Europe,63,71,68,72,74,76,60,54,65,67,67,69,75,71,64,69,72,59,61,75,77,40,40,40,40,40,Occasionally,High,Standard,Medium
M. Uzuni,Granada RB,Albania,178,69,28,Right foot,C,CF,"['Left Wing Forward', 'Second Striker', 'Centre Forward']","['Left Back', 'Right Back', 'Left Midfielder', 'Right Midfielder', 'Attacking Midfielder', 'Right Wing Forward']",74,Spanish League,Europe,69,69,72,66,60,58,72,57,62,65,48,48,60,54,79,75,69,71,57,68,74,40,40,40,40,40,Occasionally,High,Standard,High
A. Ismajli,Empoli A,Albania,185,80,27,Right foot,C,CB,['Centre Back'],['Right Back'],74,Italian League,Europe,52,60,56,58,63,61,50,67,49,56,72,73,68,72,69,66,65,70,73,58,68,40,40,40,40,40,Almost Never,Medium,Unwavering,Low
N. Bajrami,Sassuolo NV,Albania,179,68,24,Right foot,C,AMF,"['Defensive Midfielder', 'Centre Midfielder', 'Attacking Midfielder', 'Right Wing Forward']","['Left Wing Forward', 'Second Striker']",74,Italian League,Europe,67,73,72,72,71,71,65,56,64,66,55,57,52,58,71,74,72,54,60,70,69,40,40,40,40,40,Rarely,High,Standard,Medium
M. Kumbulla,Sassuolo NV,Albania,191,78,23,Right foot,C,CB,['Centre Back'],[],74,Italian League,Europe,56,64,59,59,63,61,53,73,52,55,72,72,73,73,64,61,64,70,72,59,67,40,40,40,40,40,Rarely,Medium,Inconsistent,Low
K. Bare,Llobregat AB,Albania,174,66,26,Right foot,C,DMF,"['Defensive Midfielder', 'Centre Midfielder', 'Attacking Midfielder']","['Right Wing Forward', 'Second Striker']",74,Spanish 2nd Division,Europe,59,69,64,70,72,68,57,57,59,63,70,72,78,72,69,66,71,61,63,72,79,40,40,40,40,40,Rarely,Medium,Standard,Medium
T. Strakosha,Brentford RW,Albania,186,78,28,Right foot,C,GK,['Goalkeeper'],[],74,English League,Europe,40,49,44,45,49,52,40,40,48,43,44,40,48,58,59,55,64,66,68,50,51,72,68,68,74,72,Almost Never,Low,Inconsistent,Medium
E. Muçi,Beşiktaş JK,Albania,180,75,22,Right foot,C,AMF,"['Centre Midfielder', 'Attacking Midfielder']","['Defensive Midfielder', 'Right Midfielder', 'Second Striker', 'Centre Forward']",73,Trendyol Süper Lig,Europe,62,72,69,71,72,71,65,55,67,71,52,57,61,60,74,72,71,57,58,70,68,40,40,40,40,40,Rarely,Medium,Standard,Medium
E. Kastrati,A.S. Cittadella,Albania,189,82,26,Right foot,C,GK,['Goalkeeper'],[],73,Serie BKT,Europe,40,48,41,40,51,54,40,46,48,40,43,40,41,58,55,53,67,64,67,50,48,70,69,67,71,72,Rarely,Medium,Standard,High
I. Balliu,Vallecas BR,Albania,172,65,31,Right foot,C,RB,"['Left Back', 'Right Back']","['Centre Back', 'Right Midfielder']",73,Spanish League,Europe,61,67,67,61,69,72,51,54,53,65,62,64,70,62,77,74,63,61,59,67,78,40,40,40,40,40,Almost Never,Low,Standard,Medium
J. Asani,Gwangju Y,Albania,175,65,28,Left foot,C,RWF,['Right Wing Forward'],"['Left Midfielder', 'Right Midfielder', 'Left Wing Forward']",72,Korean League,Europe,61,68,73,66,60,64,66,50,66,71,49,55,61,59,69,77,80,63,61,76,69,40,40,40,40,40,Almost Never,Medium,Standard,Medium
Y. Ramadani,Lecce GR,Albania,185,75,27,Right foot,C,DMF,['Defensive Midfielder'],['Centre Midfielder'],72,Italian League,Europe,56,66,61,67,64,68,51,63,57,60,68,69,78,74,63,62,75,65,72,59,74,40,40,40,40,40,Rarely,Medium,Unwavering,Medium
G. Vrioni,New England BW,Albania,188,79,25,Left foot,C,CF,['Centre Forward'],['Second Striker'],72,American League,Europe,70,68,63,67,57,54,70,69,56,57,41,44,58,57,75,64,66,68,70,61,71,40,40,40,40,40,Almost Never,Medium,Standard,Medium
S. Çikalleshi,Konyaspor,Albania,185,79,33,Right foot,C,CF,['Centre Forward'],"['Left Midfielder', 'Right Midfielder', 'Attacking Midfielder', 'Right Wing Forward', 'Second Striker']",72,Trendyol Süper Lig,Europe,75,63,62,56,57,52,73,75,60,58,48,50,52,67,64,60,70,64,76,54,62,40,40,40,40,40,Occasionally,Very High,Unwavering,Medium
