Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2015-03-27,Spain,Ukraine,1,0,European Championship qualifier,Spain,+8,-8,1962,1816
2015-03-29,France,Denmark,2,0,Friendly,France,+5,-5,1955,1759
2015-03-29,Georgia,Germany,0,2,European Championship qualifier,Georgia,-2,+2,1470,2127
2015-03-29,Portugal,Serbia,2,1,European Championship qualifier,Portugal,+7,-7,1918,1720
2015-03-31,Italy,England,1,1,Friendly,Italy,-1,+1,1874,1928
2015-03-31,Netherlands,Spain,2,0,Friendly,the Netherlands,+9,-9,2022,1953
2015-03-31,Slovakia,Czechia,1,0,Friendly,Slovakia,+8,-8,1761,1780
2015-06-07,France,Belgium,3,4,Friendly,France,-14,+14,1941,1926
2015-06-09,Ukraine,Georgia,2,1,Friendly,Austria,+3,-3,1810,1467
2015-06-12,Croatia,Italy,1,1,European Championship qualifier,Croatia,-4,+4,1832,1878
2015-06-13,Albania,France,1,0,Friendly,Albania,+16,-16,1606,1925
2015-06-13,Denmark,Serbia,2,0,European Championship qualifier,Denmark,+19,-19,1782,1706
2015-06-13,Poland,Georgia,4,0,European Championship qualifier,Poland,+8,-8,1741,1459
2015-06-14,Slovenia,England,2,3,European Championship qualifier,Slovenia,-10,+10,1635,1935
2015-06-16,Portugal,Italy,1,0,Friendly,Switzerland,+9,-9,1907,1869
2015-09-04,Denmark,Albania,0,0,European Championship qualifier,Denmark,-13,+13,1769,1619
2015-09-04,Georgia,Scotland,1,0,European Championship qualifier,Georgia,+29,-29,1488,1707
2015-09-04,Germany,Poland,3,1,European Championship qualifier,Germany,+4,-4,2113,1732
2015-09-04,Hungary,Romania,0,0,European Championship qualifier,Hungary,0,0,1681,1779
2015-09-04,Portugal,France,0,1,Friendly,Portugal,-12,+12,1895,1937
2015-09-05,Spain,Slovakia,2,0,European Championship qualifier,Spain,+9,-9,1973,1756
2015-09-05,Switzerland,Slovenia,3,2,European Championship qualifier,Switzerland,+7,-7,1809,1628
2015-09-07,Albania,Portugal,0,1,European Championship qualifier,Albania,-11,+11,1608,1906
2015-09-07,France,Serbia,2,1,Friendly,France,+3,-3,1940,1713
2015-09-07,Scotland,Germany,2,3,European Championship qualifier,Scotland,-6,+6,1701,2119
2015-09-08,England,Switzerland,2,0,European Championship qualifier,England,+13,-13,1948,1796
2015-09-08,Slovakia,Ukraine,0,0,European Championship qualifier,Slovakia,-2,+2,1754,1820
2015-10-08,Albania,Serbia,0,2,European Championship qualifier,Albania,-30,+30,1578,1743
2015-10-08,Portugal,Denmark,1,0,European Championship qualifier,Portugal,+8,-8,1914,1753
2015-10-08,Scotland,Poland,2,2,European Championship qualifier,Scotland,-4,+4,1697,1738
2015-10-11,Denmark,France,1,2,Friendly,Denmark,-7,+7,1746,1949
2015-10-11,Germany,Georgia,2,1,European Championship qualifier,Germany,+1,-1,2086,1487
2015-10-11,Serbia,Portugal,1,2,European Championship qualifier,Serbia,-16,+16,1727,1930
2015-10-12,Ukraine,Spain,0,1,European Championship qualifier,Ukraine,-17,+17,1813,1994
2015-10-13,Netherlands,Czechia,2,3,European Championship qualifier,the Netherlands,-34,+34,1891,1766
2015-11-13,Belgium,Italy,3,1,Friendly,Belgium,+10,-10,1928,1877
2015-11-13,Czechia,Serbia,4,1,Friendly,Czechia,+11,-11,1777,1716
2015-11-13,France,Germany,2,0,Friendly,France,+17,-17,1966,2069
2015-11-13,Slovakia,Switzerland,3,2,Friendly,Slovakia,+9,-9,1735,1796
2015-11-13,Spain,England,2,0,Friendly,Spain,+9,-9,2003,1947
2015-11-14,Ukraine,Slovenia,2,0,European Championship qualifier,Ukraine,+10,-10,1823,1613
2015-11-16,Albania,Georgia,2,2,Friendly,Albania,-6,+6,1608,1480
2015-11-17,Austria,Switzerland,1,2,Friendly,Austria,-13,+13,1801,1809
2015-11-17,England,France,2,0,Friendly,England,+12,-12,1959,1954
2015-11-17,Italy,Romania,2,2,Friendly,Italy,-6,+6,1871,1765
2015-11-17,Poland,Czechia,3,1,Friendly,Poland,+11,-11,1772,1766
2015-11-17,Slovenia,Ukraine,1,1,European Championship qualifier,Slovenia,+6,-6,1619,1817
