Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2019-03-20,Germany,Serbia,1,1,Friendly,Germany,-6,+6,1932,1813
2019-03-21,Austria,Poland,0,1,European Championship qualifier,Austria,-26,+26,1738,1778
2019-03-21,Belgium,Russia,3,1,European Championship qualifier,Belgium,+6,-6,2041,1747
2019-03-21,Croatia,Azerbaijan,2,1,European Championship qualifier,Croatia,+1,-1,1926,1402
2019-03-21,Israel,Slovenia,1,1,European Championship qualifier,Israel,-6,+6,1555,1566
2019-03-21,Kazakhstan,Scotland,3,0,European Championship qualifier,Kazakhstan,+58,-58,1398,1664
2019-03-21,Kosovo,Denmark,2,2,Friendly,Kosovo,+7,-7,1503,1891
2019-03-21,Netherlands,Belarus,4,0,European Championship qualifier,the Netherlands,+3,-3,1989,1536
2019-03-21,Slovakia,Hungary,2,0,European Championship qualifier,Slovakia,+12,-12,1760,1599
2019-03-22,Albania,Turkey,0,2,European Championship qualifier,Albania,-24,+24,1491,1715
2019-03-22,England,Czechia,5,0,European Championship qualifier,England,+10,-10,1970,1719
2019-03-22,Moldova,France,1,4,European Championship qualifier,Moldova,-1,+1,1313,2094
2019-03-22,Portugal,Ukraine,0,0,European Championship qualifier,Portugal,-14,+14,1945,1786
2019-03-23,Georgia,Switzerland,0,2,European Championship qualifier,Georgia,-10,+10,1536,1932
2019-03-23,Italy,Finland,2,0,European Championship qualifier,Italy,+6,-6,1895,1616
2019-03-23,Spain,Norway,2,1,European Championship qualifier,Spain,+3,-3,2015,1675
2019-03-23,Sweden,Romania,2,1,European Championship qualifier,Sweden,+11,-11,1842,1741
2019-03-24,Cyprus,Belgium,0,2,European Championship qualifier,Cyprus,-3,+3,1413,2044
2019-03-24,Hungary,Croatia,2,1,European Championship qualifier,Hungary,+31,-31,1630,1895
2019-03-24,Israel,Austria,4,2,European Championship qualifier,Israel,+37,-37,1592,1701
2019-03-24,Netherlands,Germany,2,3,European Championship qualifier,the Netherlands,-28,+28,1961,1960
2019-03-24,Poland,Latvia,2,0,European Championship qualifier,Poland,+2,-2,1780,1288
2019-03-24,San Marino,Scotland,0,2,European Championship qualifier,San Marino,-1,+1,833,1665
2019-03-24,Slovenia,North Macedonia,1,1,European Championship qualifier,Slovenia,-8,+8,1558,1535
2019-03-24,Wales,Slovakia,1,0,European Championship qualifier,Wales,+14,-14,1776,1746
2019-03-25,Andorra,Albania,0,3,European Championship qualifier,Andorra,-10,+10,1068,1501
2019-03-25,France,Iceland,4,0,European Championship qualifier,France,+4,-4,2098,1666
2019-03-25,Luxembourg,Ukraine,1,2,European Championship qualifier,Luxembourg,-5,+5,1357,1791
2019-03-25,Montenegro,England,1,5,European Championship qualifier,Montenegro,-13,+13,1584,1983
2019-03-25,Portugal,Serbia,1,1,European Championship qualifier,Portugal,-12,+12,1933,1825
2019-03-26,Czechia,Brazil,1,3,Friendly,Czechia,-4,+4,1715,2132
2019-03-26,Ireland,Georgia,1,0,European Championship qualifier,Ireland,+7,-7,1713,1529
2019-03-26,Italy,Liechtenstein,6,0,European Championship qualifier,Italy,+1,-1,1896,1131
2019-03-26,Malta,Spain,0,2,European Championship qualifier,Malta,-1,+1,1197,2016
2019-03-26,Romania,Faroe Islands,4,1,European Championship qualifier,Romania,+2,-2,1743,1234
2019-03-26,Switzerland,Denmark,3,3,European Championship qualifier,Switzerland,-8,+8,1924,1899
2019-06-02,France,Bolivia,2,0,Friendly,France,+1,-1,2099,1637
2019-06-05,Portugal,Switzerland,3,1,European Nations League,Portugal,+26,-26,1959,1898
2019-06-06,Netherlands,England,3,1,European Nations League,Portugal,+40,-40,2001,1943
2019-06-07,Austria,Slovenia,1,0,European Championship qualifier,Austria,+8,-8,1709,1550
2019-06-07,Czechia,Bulgaria,2,1,European Championship qualifier,Czechia,+10,-10,1725,1610
2019-06-07,Denmark,Ireland,1,1,European Championship qualifier,Denmark,-14,+14,1885,1727
2019-06-07,Faroe Islands,Spain,1,4,European Championship qualifier,the Faroe Islands,-1,+1,1233,2017
2019-06-07,Georgia,Gibraltar,3,0,European Championship qualifier,Georgia,+3,-3,1532,1096
2019-06-07,North Macedonia,Poland,0,1,European Championship qualifier,North Macedonia,-12,+12,1523,1792
2019-06-07,Norway,Romania,2,2,European Championship qualifier,Norway,-2,+2,1677,1745
2019-06-07,Slovakia,Jordan,5,1,Friendly,Slovakia,+4,-4,1750,1487
2019-06-07,Ukraine,Serbia,5,0,European Championship qualifier,Ukraine,+32,-32,1823,1793
2019-06-08,Azerbaijan,Hungary,1,3,European Championship qualifier,Azerbaijan,-19,+19,1378,1649
2019-06-08,Belarus,Germany,0,2,European Championship qualifier,Belarus,-8,+8,1518,1968
2019-06-08,Belgium,Kazakhstan,3,0,European Championship qualifier,Belgium,+1,-1,2045,1383
2019-06-08,Croatia,Wales,2,1,European Championship qualifier,Croatia,+9,-9,1904,1767
2019-06-08,Greece,Italy,0,3,European Championship qualifier,Greece,-19,+19,1608,1915
2019-06-08,Iceland,Albania,1,0,European Championship qualifier,Iceland,+7,-7,1673,1494
2019-06-08,Scotland,Cyprus,2,1,European Championship qualifier,Scotland,+5,-5,1670,1408
2019-06-08,Turkey,France,2,0,European Championship qualifier,Turkey,+49,-49,1780,2050
2019-06-09,England,Switzerland,0,0,European Nations League,Portugal,-3,+3,1940,1901
2019-06-09,Portugal,Netherlands,1,0,European Nations League,Portugal,+21,-21,1980,1980
2019-06-10,Czechia,Montenegro,3,0,European Championship qualifier,Czechia,+13,-13,1738,1561
2019-06-10,Denmark,Georgia,5,1,European Championship qualifier,Denmark,+5,-5,1890,1527
2019-06-10,Latvia,Slovenia,0,5,European Championship qualifier,Latvia,-21,+21,1250,1571
2019-06-10,Malta,Romania,0,4,European Championship qualifier,Malta,-5,+5,1191,1750
2019-06-10,North Macedonia,Austria,1,4,European Championship qualifier,North Macedonia,-27,+27,1496,1736
2019-06-10,Poland,Israel,4,0,European Championship qualifier,Poland,+12,-12,1804,1597
2019-06-10,Serbia,Lithuania,4,1,European Championship qualifier,Serbia,+3,-3,1796,1322
2019-06-10,Spain,Sweden,3,0,European Championship qualifier,Spain,+12,-12,2029,1827
2019-06-10,Ukraine,Luxembourg,1,0,European Championship qualifier,Ukraine,+1,-1,1824,1357
2019-06-11,Albania,Moldova,2,0,European Championship qualifier,Albania,+10,-10,1504,1304
2019-06-11,Andorra,France,0,4,European Championship qualifier,Andorra,0,0,1063,2050
2019-06-11,Azerbaijan,Slovakia,1,5,European Championship qualifier,Azerbaijan,-13,+13,1365,1763
2019-06-11,Belgium,Scotland,3,0,European Championship qualifier,Belgium,+4,-4,2049,1666
2019-06-11,Croatia,Tunisia,1,2,Friendly,Croatia,-18,+18,1886,1669
2019-06-11,Germany,Estonia,8,0,European Championship qualifier,Germany,+3,-3,1971,1460
2019-06-11,Hungary,Wales,1,0,European Championship qualifier,Hungary,+21,-21,1670,1746
2019-06-11,Italy,Bosnia and Herzegovina,2,1,European Championship qualifier,Italy,+7,-7,1922,1744
2019-09-05,Armenia,Italy,1,3,European Championship qualifier,Armenia,-7,+7,1454,1929
2019-09-05,Georgia,South Korea,2,2,Friendly,Turkey,+6,-6,1533,1780
2019-09-05,Gibraltar,Denmark,0,6,European Championship qualifier,Gibraltar,-2,+2,1093,1892
2019-09-05,Ireland,Switzerland,1,1,European Championship qualifier,Ireland,+4,-4,1732,1897
