Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2018-01-02,Iraq,United Arab Emirates,0,0,Gulf Cup,Kuwait,-1,+1,1569,1561
2018-01-02,Oman,Bahrain,1,0,Gulf Cup,Kuwait,+15,-15,1527,1403
2018-01-05,Oman,United Arab Emirates,0,0,Gulf Cup,Kuwait,+2,-2,1529,1559
2018-01-07,Estonia,Sweden,1,1,Friendly,the United Arab Emirates,+7,-7,1514,1818
2018-01-11,Finland,Jordan,2,1,Friendly,the United Arab Emirates,+7,-7,1602,1473
2018-01-14,Indonesia,Iceland,1,4,Friendly,Indonesia,-2,+2,1232,1813
2018-01-27,South Korea,Moldova,1,0,Friendly,Turkey,+2,-2,1762,1328
2018-01-28,United States,Bosnia and Herzegovina,0,0,Friendly,the United States,-4,+4,1747,1727
2018-01-30,Azerbaijan,Moldova,0,0,Friendly,Turkey,-2,+2,1398,1330
2018-01-30,Jamaica,South Korea,2,2,Friendly,Turkey,+5,-5,1570,1757
2018-01-31,Mexico,Bosnia and Herzegovina,1,0,Friendly,the United States,+7,-7,1855,1720
2018-02-03,South Korea,Latvia,1,0,Friendly,Turkey,+2,-2,1759,1360
2018-02-26,Saudi Arabia,Moldova,3,0,Friendly,Saudi Arabia,+4,-4,1572,1326
2018-02-28,Iraq,Saudi Arabia,4,1,Friendly,Iraq,+13,-13,1582,1559
2018-03-17,Iran,Sierra Leone,4,0,Friendly,Iran,+2,-2,1802,1377
2018-03-20,Tahiti,New Caledonia,0,0,Friendly,Tahiti,-3,+3,1215,1212
2018-03-21,Andorra,Liechtenstein,1,0,Friendly,Spain,+14,-14,1026,1155
2018-03-21,Angola,South Africa,1,1,Friendly tournament,Zambia,+11,-11,1252,1534
2018-03-21,Antigua and Barbuda,Bermuda,3,2,Friendly,Antigua and Barbuda,+7,-7,1210,1190
2018-03-21,Iraq,Qatar,2,3,Friendly tournament,Iraq,-23,+23,1559,1487
2018-03-21,Jordan,Kuwait,1,0,Friendly,Jordan,+6,-6,1479,1415
2018-03-21,Laos,Cambodia,0,1,Friendly,Laos,-12,+12,771,823
2018-03-21,Madagascar,Togo,0,0,Friendly,France,0,0,1368,1383
2018-03-21,Zambia,Zimbabwe,2,2,Friendly tournament,Zambia,-5,+5,1496,1477
2018-03-22,Algeria,Tanzania,4,1,Friendly,Algeria,+4,-4,1542,1296
2018-03-22,Bahrain,Palestine,0,0,Friendly,Bahrain,-3,+3,1400,1405
