Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2021-01-12,United Arab Emirates,Iraq,0,0,Friendly,the United Arab Emirates,+3,-3,1430,1623
2021-01-18,Kuwait,Palestine,0,1,Friendly,Kuwait,-13,+13,1404,1412
2021-01-19,Dominican Republic,Puerto Rico,0,1,Friendly,the Dominican Republic,-17,+17,1165,990
2021-01-22,Guatemala,Puerto Rico,1,0,Friendly,Guatemala,+1,-1,1488,989
2021-01-25,Dominican Republic,Serbia,0,0,Friendly,the Dominican Republic,+9,-9,1174,1779
2021-01-27,Iraq,Kuwait,2,1,Friendly,Iraq,+3,-3,1626,1401
2021-01-28,Panama,Serbia,0,0,Friendly,Panama,+4,-4,1539,1775
2021-01-31,United States,Trinidad and Tobago,7,0,Friendly,the United States,+2,-2,1748,1343
2021-02-01,Jordan,Tajikistan,2,0,Friendly,the United Arab Emirates,+5,-5,1494,1220
2021-02-05,Tajikistan,Jordan,1,0,Friendly,the United Arab Emirates,+17,-17,1237,1477
2021-02-15,Uzbekistan,Jordan,2,0,Friendly,the United Arab Emirates,+12,-12,1563,1465
2021-02-24,Guatemala,Nicaragua,1,0,Friendly,Guatemala,+2,-2,1490,1207
2021-03-05,Bermuda,Bahamas,3,0,Friendly,the United States,+3,-3,1300,898
2021-03-07,Bahamas,Bermuda,0,0,Friendly,the United States,+8,-8,906,1292
2021-03-13,Kenya,South Sudan,1,0,Friendly,Kenya,+2,-2,1355,1091
2021-03-15,Kenya,Tanzania,2,1,Friendly,Kenya,+6,-6,1361,1289
2021-03-17,Ethiopia,Malawi,4,0,Friendly,Ethiopia,+17,-17,1295,1320
2021-03-19,Barbados,Turks and Caicos Islands,2,0,Friendly,the Dominican Republic,+5,-5,1106,797
2021-03-20,Jordan,Oman,0,0,Friendly,the United Arab Emirates,+1,-1,1466,1500
